gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID
LOC105378589,1.1635564549064403,0.022127548394510522,0.23592832332091976,0.09378928346984303,0.9252765447112806,0.9592449892075241,105378589
GABRD,3.180357936618975,-0.2393716082887791,0.238808254104052,-1.0023590230867048,0.31617022537541484,0.5096545314190868,2563
LOC105378590,0.09353907968934311,0.13446560058314408,1.2204374430890974,0.11017819991067539,0.9122680509537765,,105378590
PRKCZ-DT,0.14069942544199104,-0.3158608716859142,1.0202644822988658,-0.3095872464110626,0.7568748560139825,,105378591
PRKCZ,204.52068079291135,0.44684295567741705,0.16445235466270722,2.7171575414283042,0.0065845257401067414,0.042716021747315244,5590
PRKCZ-AS1,44.553985670880515,0.3294889367506952,0.1644604032871567,2.003454510417257,0.04512852557711049,0.14622003435571276,100506504
FAAP20,322.18010507369644,-0.06201158255368137,0.07389673530535043,-0.8391653879896298,0.4013765071641342,0.5928820147120181,199990
LOC112268219,104.8996839315745,0.022932755993636464,0.08086224279862865,0.28360276935115364,0.7767148145832657,0.8713158454520425,112268219
LOC105378593,18.67577079458205,-0.5124967408388384,0.13375952007002936,-3.8314786160306378,0.00012737544678397903,0.004084842298349585,105378593
SKI,2503.2255744758154,-0.20665749812310585,0.07796951395697768,-2.6504910398330317,0.008037485922007802,0.04835928836170267,6497
MORN1,139.9062686059803,0.20360902173676113,0.11133497186712109,1.8287966334582597,0.06743007950960551,0.18991828481009762,79906
LOC100129534,87.06537971052627,0.3631080448272269,0.1205999197184022,3.010848147122114,0.0026051910304861225,0.024355485807939337,100129534
RER1,2559.9149499276796,-0.01873704379985907,0.032715981184225786,-0.5727183817092196,0.5668353893787981,0.7307220818016779,11079
PEX10,440.0392305774006,-0.09236454959158587,0.05653332165314236,-1.6338072289168573,0.10229933397670024,0.2477638303986356,5192
PLCH2,343.43884461921454,0.17491590115415206,0.2351637012808021,0.7438048482885975,0.45699454662013816,0.6429773651490732,9651
PANK4,306.25563984939765,-0.06163862415980857,0.04486158863138033,-1.3739732818265118,0.16944997725611732,0.34222595315092036,55229
HES5,4.288251345971428,-0.3431120225953073,0.22146100245124153,-1.549311250276894,0.12130691659503494,0.27499289070904104,388585
TNFRSF14-AS1,246.02267238218928,-0.1703608656998316,0.08783371794265647,-1.9395839057052577,0.05243027837503728,0.16098536390464627,115110
TNFRSF14,1244.67961118891,-0.2122384703286783,0.08897126632910014,-2.3854720640214233,0.017057217822692775,0.07804067966062184,8764
LOC100996583,14.503450299830197,-0.3400404491252555,0.11282958957798414,-3.013752424316235,0.0025803828166057,0.02423477770268758,100996583
PRXL2B,378.7296872461268,0.07649554605319167,0.06771959783545736,1.1295924444066812,0.2586479961760092,0.44896080365171154,127281
MMEL1,69.70666813513712,-0.04964045268812762,0.07425327885787722,-0.6685287633309874,0.5037961277811007,0.6816298399415774,79258
MMEL1-AS1,5.839363904824794,-0.08279027614926221,0.18073518100927793,-0.45807504486363515,0.6468985269770486,0.7874928421951354,105378597
